aard,1
vark,1
ab,128
at,224
toir,1
a,2200
ci,185
cus,60
es,275
lo,148
ne,134
tis,48
ba,115
cy,210
be,264
bess,1
bey,8
bot,21
ship,66
bre,16
vi,210
ate,208
tion,762
di,520
cate,70
cat,124
ed,882
ing,2326
ca,324
dom,47
i,3115
nal,132
do,124
men,118
duct,15
duc,47
tor,365
er,3051
rance,5
rant,19
ra,332
hor,25
horred,1
rence,6
rent,16
rer,7
ring,48
ject,13
ly,1657
ness,683
jec,24
jure,5
jured,6
jur,15
to,379
ry,359
ju,63
late,104
lat,103
la,329
tive,247
ti,625
val,78
lu,124
gate,44
gat,43
ga,112
nor,36
mal,96
o,1242
li,400
rig,24
dab,5
ro,182
rupt,15
scess,1
scessed,1
scise,1
scised,1
scis,9
sa,136
sae,1
sas,11
sion,176
scond,2
sence,2
sent,16
sen,53
tee,29
sinthe,1
solve,5
solved,6
solv,12
ble,813
sorb,11
sorbed,2
ent,105
en,617
sorp,5
so,172
lute,14
lut,15
ism,135
ist,160
stain,6
sten,10
ste,12
mi,225
ous,286
sti,32
nence,8
nent,20
stract,4
struse,2
surd,5
ty,582
ace,7
ache,8
ach,7
mat,95
ic,567
act,22
ac,225
deme,1
dem,36
cal,300
de,727
cede,9
ced,20
ence,45
cel,45
om,48
e,867
ter,715
cent,54
cen,81
tu,170
al,791
cept,14
ance,72
bly,157
cess,12
ces,53
si,298
dence,20
dent,36
den,115
tal,162
claim,16
cliv,3
cli,22
mate,38
com,297
mo,235
date,27
da,99
pa,193
nist,14
ni,338
ment,228
ny,123
plice,2
plish,2
cord,26
ant,106
cor,117
on,186
cost,10
count,15
cou,22
co,248
lade,5
cred,16
it,114
crete,7
cret,11
cre,66
crue,2
crued,1
cru,25
curs,8
cuse,5
cused,7
tom,36
tomed,2
cu,154
mu,89
rate,54
bate,12
bat,64
tate,41
tone,12
ton,133
id,82
sis,90
knowl,3
edge,6
me,142
lyte,2
nite,19
quaint,7
quire,7
quired,4
quir,8
quit,12
ted,86
ting,107
qui,31
esce,1
rid,37
ri,435
ics,43
nym,11
pho,55
bi,238
tin,67
um,176
tiv,21
vate,20
vat,24
va,140
my,67
sin,49
tress,12
ize,123
ized,67
ary,2
ar,300
ies,140
y,990
u,613
add,4
adz,1
ad,190
age,131
ap,153
ta,381
mant,2
man,349
tine,35
dend,2
dum,11
der,282
dict,13
dic,33
dle,88
dress,21
ee,36
duce,14
duced,13
ept,5
nine,21
noid,3
noids,1
quate,5
qua,16
here,17
hered,3
her,63
he,56
sive,99
os,74
pose,29
pos,93
ja,20
join,10
journ,4
judge,7
judged,2
judg,7
junct,3
junc,7
just,15
jus,10
tant,27
tan,77
min,73
is,124
trate,15
tra,74
mire,5
mired,2
mir,13
mis,187
mit,68
tance,14
mix,11
ture,89
ral,78
mon,129
ish,205
les,23
re,1393
sor,52
bent,9
brate,8
brat,12
vance,3
vanced,1
vanc,3
van,34
tage,13
taged,2
vent,16
ven,76
tured,24
tur,88
verb,3
verse,18
vert,30
ver,369
sar,25
tise,6
tised,2
vice,12
vise,9
vised,8
vis,51
vo,55
tum,33
aer,22
ie,39
obe,2
ol,61
gist,21
gy,147
bic,16
naut,8
sol,46
space,10
aes,7
thete,1
thet,13
ae,9
gis,9
an,542
aft,1
af,61
fair,12
fairs,1
fa,85
bil,55
fect,21
fec,22
fer,121
fil,36
fin,58
firm,13
fir,9
ma,340
fix,26
fi,151
anced,3
