ic	2201	3383	2201	3384	0.6504137115839244
ab	4	36	4	37	0.10810810810810811
ca	1004	109	109	1005	0.10845771144278607
nate	1047	293	293	1048	0.27958015267175573
tion	3245	2975	2974	3247	0.9159223898983677
cus	129	60	60	130	0.46153846153846156
cist	538	22	22	539	0.04081632653061224
back	56	54	54	57	0.9473684210526315
nal	1816	233	233	1817	0.1282333516785911
tor	763	566	565	765	0.738562091503268
lus	163	99	94	169	0.5562130177514792
da	1027	134	132	1030	0.12815533980582525
don	259	63	62	261	0.23754789272030652
baft	3	2	2	4	0.5
sance	301	21	21	302	0.0695364238410596
ser	2877	34	34	2878	0.0118137595552467
baist	517	1	1	518	0.0019305019305019305
ate	754	2519	639	2635	0.24250474383301707
ne	84	1773	46	1812	0.025386313465783666
band	42	29	29	43	0.6744186046511628
doned	426	1	1	427	0.00234192037470726
ly	4129	3196	2915	4411	0.6608478802992519
ee	89	308	51	347	0.14697406340057637
er	2843	5447	2843	5448	0.5218428781204112
ment	1100	905	905	1101	0.8219800181653043
net	258	85	83	261	0.31800766283524906
ga	947	52	52	948	0.05485232067510549
base	58	12	12	59	0.2033898305084746
based	424	4	4	425	0.009411764705882352
bash	10	5	5	11	0.45454545454545453
a	895	2971	895	2972	0.3011440107671602
si	66	11	11	67	0.16417910447761194
ble	1973	1869	1867	1976	0.944838056680162
bate	801	47	47	802	0.05860349127182045
tis	177	128	128	178	0.7191011235955056
tised	423	2	2	424	0.0047169811320754715
toir	10	7	7	11	0.6363636363636364
ture	400	275	274	402	0.681592039800995
voix	1	1	1	2	0.5
awed	422	5	1	427	0.00234192037470726
al	1583	3112	1582	3114	0.5080282594733462
bay	1226	7	7	1227	0.0057049714751426246
abb	1	2	1	3	0.3333333333333333
ba	927	32	32	928	0.034482758620689655
cy	1740	527	526	1742	0.3019517795637199
tial	1692	104	104	1693	0.06142941523922032
bess	111	1	1	112	0.008928571428571428
bey	1251	5	5	1252	0.003993610223642172
bot	44	7	7	45	0.15555555555555556
ship	350	346	345	352	0.9801136363636364
ted	660	248	241	668	0.36077844311377244
ry	2618	1642	1404	2857	0.4914245712285614
dal	1658	75	75	1659	0.045207956600361664
an	979	1909	979	1910	0.512565445026178
rite	473	91	63	502	0.1254980079681275
dest	27	2	2	28	0.07142857142857142
cant	276	50	49	278	0.17625899280575538
cate	978	225	224	980	0.22857142857142856
tive	838	638	636	841	0.7562425683709869
men	319	44	44	320	0.1375
les	61	52	22	92	0.2391304347826087
py	1336	127	122	1342	0.09090909090909091
nous	1407	262	262	1408	0.18607954545454544
duce	71	20	20	72	0.2777777777777778
duct	23	22	22	24	0.9166666666666666
beam	27	17	17	28	0.6071428571428571
bear	65	13	13	66	0.19696969696969696
ance	280	408	229	460	0.49782608695652175
ing	1369	2020	1369	2021	0.6773874319643741
bed	439	47	20	467	0.042826552462526764
ge	58	850	20	889	0.02249718785151856
bele	110	1	1	111	0.009009009009009009
mosk	3	2	2	4	0.5
err	2	5	2	6	0.3333333333333333
rance	286	25	6	306	0.0196078431372549
rant	261	67	34	295	0.1152542372881356
rate	917	284	163	1039	0.15688161693936478
bet	191	16	16	192	0.08333333333333333
tal	1801	219	218	1803	0.1209095951192457
ter	3668	883	825	3727	0.22135766031660853
ant	227	670	227	671	0.338301043219076
haus	71	2	2	72	0.027777777777777776
hal	1584	47	1	1631	0.0006131207847946045
hor	199	15	1	214	0.004672897196261682
rence	184	11	11	185	0.05945945945945946
rent	225	35	30	231	0.12987012987012986
rer	2859	23	16	2867	0.0055807464248343215
ring	1391	53	22	1423	0.015460295151089248
bib	4	3	3	5	0.6
bide	137	5	5	138	0.036231884057971016
es	39	493	39	494	0.07894736842105263
tene	134	14	13	136	0.09558823529411764
tin	220	79	79	221	0.3574660633484163
tite	450	41	40	452	0.08849557522123894
gail	44	1	1	45	0.022222222222222223
ty	2847	1647	1633	2862	0.5705800139762404
bime	57	1	1	58	0.017241379310344827
sis	438	389	389	439	0.8861047835990888
nist	575	59	59	576	0.10243055555555555
ny	1470	257	256	1472	0.17391304347826086
tant	285	65	58	293	0.19795221843003413
tate	947	212	193	967	0.19958634953464321
bit	102	22	22	103	0.21359223300970873
ject	14	11	11	15	0.7333333333333333
ness	1991	1881	1881	1992	0.9442771084337349
judge	65	7	7	66	0.10606060606060606
gate	856	102	102	857	0.11901983663943991
jure	131	5	5	132	0.03787878787878788
tious	1265	106	106	1266	0.08372827804107424
laut	7	3	3	8	0.375
blaze	49	4	4	50	0.08
sy	1321	112	107	1327	0.08063300678221552
bler	2939	49	49	2940	0.016666666666666666
let	386	235	211	411	0.51338199513382
blins	5	2	2	6	0.3333333333333333
bloom	29	5	5	30	0.16666666666666666
lude	67	17	9	76	0.11842105263157894
ent	195	1713	195	1714	0.11376896149358226
blush	4	3	3	5	0.6
on	197	4389	197	4390	0.044874715261959
bly	4339	210	210	4340	0.04838709677419355
date	825	72	71	827	0.08585247883917775
mal	1673	90	90	1674	0.053763440860215055
mous	1280	135	135	1281	0.1053864168618267
board	103	70	70	104	0.6730769230769231
bode	71	4	4	72	0.05555555555555555
ish	376	667	376	668	0.562874251497006
ism	633	1095	633	1096	0.5775547445255474
ist	516	1209	516	1210	0.42644628099173554
ize	459	744	417	787	0.5298602287166455
ma	1152	257	257	1153	0.22289679098005205
sum	499	14	14	500	0.028
boon	204	2	2	205	0.00975609756097561
ral	1701	242	118	1826	0.06462212486308871
bord	5	3	3	6	0.5
nes	66	47	27	87	0.3103448275862069
sive	357	155	155	358	0.4329608938547486
bort	3	2	2	4	0.5
ed	419	2253	419	2254	0.18589174800354924
cide	174	42	42	175	0.24
cient	236	32	30	239	0.12552301255230125
bought	3	2	2	4	0.5
bound	26	20	20	27	0.7407407407407407
bout	31	14	13	33	0.3939393939393939
bove	47	1	1	48	0.020833333333333332
deck	5	5	5	6	0.8333333333333334
said	101	4	4	102	0.0392156862745098
box	17	16	16	18	0.8888888888888888
bra	1151	14	14	1152	0.012152777777777778
ra	1137	309	242	1205	0.2008298755186722
dant	239	12	12	240	0.05
rade	88	33	9	113	0.07964601769911504
braid	104	6	6	105	0.05714285714285714
ta	1176	281	281	1177	0.23874256584536957
rase	49	12	3	59	0.05084745762711865
sion	593	323	322	595	0.5411764705882353
braum	487	1	1	488	0.0020491803278688526
as	40	148	40	149	0.2684563758389262
bray	1233	4	4	1234	0.0032414910858995136
breast	19	7	7	20	0.35
nounce	63	8	8	64	0.125
voir	6	3	3	7	0.42857142857142855
cock	39	33	33	40	0.825
bridge	69	5	5	70	0.07142857142857142
broach	13	4	4	14	0.2857142857142857
broad	53	2	2	54	0.037037037037037035
brood	11	2	2	12	0.16666666666666666
brook	4	2	2	5	0.4
rupt	8	8	8	9	0.8888888888888888
scess	122	1	1	123	0.008130081300813009
scind	7	5	5	8	0.625
sciss	2	1	1	3	0.3333333333333333
sa	954	59	59	955	0.061780104712041886
scond	6	1	1	7	0.14285714285714285
ence	173	436	122	488	0.25
sence	176	3	3	177	0.01694915254237288
sent	206	11	11	207	0.05314009661835749
ous	1145	2687	1076	2757	0.3902792890823359
tee	127	39	38	129	0.29457364341085274
thate	758	3	3	759	0.003952569169960474
sinthe	46	1	1	47	0.02127659574468085
thic	2211	10	10	2212	0.0045207956600361665
thin	158	15	15	159	0.09433962264150944
thism	640	7	7	641	0.0109204368174727
um	485	852	485	853	0.5685814771395076
sist	530	14	14	531	0.026365348399246705
lute	149	26	25	151	0.16556291390728478
tism	725	92	92	726	0.12672176308539945
tist	601	85	85	602	0.14119601328903655
tic	2744	552	543	2754	0.19716775599128541
solve	54	7	7	55	0.12727272727272726
nant	292	65	65	293	0.22184300341296928
sorb	6	4	4	7	0.5714285714285714
sorpt	1	1	1	2	0.5
late	1122	394	368	1149	0.3202785030461271
stain	181	3	3	182	0.016483516483516484
sterge	60	1	1	61	0.01639344262295082
gent	260	65	65	261	0.24904214559386972
sterse	48	1	1	49	0.02040816326530612
nence	188	15	15	189	0.07936507936507936
nent	221	26	26	222	0.11711711711711711
stract	36	2	2	37	0.05405405405405406
stringe	65	5	5	66	0.07575757575757576
strude	69	2	2	70	0.02857142857142857
struse	55	2	2	56	0.03571428571428571
sume	65	10	10	66	0.15151515151515152
surd	2	2	2	3	0.6666666666666666
na	1093	202	198	1098	0.18032786885245902
dance	289	9	9	290	0.03103448275862069
burst	7	7	7	8	0.875
age	385	520	327	579	0.5647668393782384
buse	50	2	2	51	0.0392156862745098
ful	432	429	429	433	0.9907621247113164
but	16	12	12	17	0.7058823529411765
lon	257	62	60	260	0.23076923076923078
buzz	2	2	2	3	0.6666666666666666
by	1273	59	59	1274	0.04631083202511774
bysm	2	1	1	3	0.3333333333333333
byss	3	2	2	4	0.5
cin	190	49	49	191	0.25654450261780104
deme	57	4	4	58	0.06896551724137931
als	6	20	6	21	0.2857142857142857
cian	1068	65	65	1069	0.0608044901777362
cism	725	92	92	726	0.12672176308539945
mism	650	17	17	651	0.026113671274961597
mist	576	60	60	577	0.10398613518197573
my	1442	228	228	1443	0.158004158004158
jou	9	6	6	10	0.6
leph	1	1	1	2	0.5
phoid	176	3	3	177	0.01694915254237288
cine	269	44	44	270	0.16296296296296298
canth	10	7	7	11	0.6363636363636364
tha	917	11	11	918	0.011982570806100218
ceous	1349	200	200	1350	0.14814814814814814
thine	234	8	8	235	0.03404255319148936
pous	1179	34	34	1180	0.0288135593220339
la	1228	340	333	1236	0.26941747572815533
lous	1338	194	193	1340	0.14402985074626865
rous	1272	190	127	1336	0.09505988023952096
i	55	348	55	349	0.15759312320916904
thus	86	17	17	87	0.19540229885057472
lar	425	379	375	430	0.872093023255814
ac	64	103	64	104	0.6153846153846154
dan	1010	31	31	1011	0.03066271018793274
rine	295	110	70	336	0.20833333333333334
roid	201	53	28	227	0.12334801762114538
rus	143	79	74	149	0.4966442953020134
cates	103	2	2	104	0.019230769230769232
cent	338	147	143	343	0.41690962099125367
line	380	168	155	394	0.3934010152284264
lose	154	87	72	170	0.4235294117647059
cede	69	12	12	70	0.17142857142857143
do	175	99	99	176	0.5625
graph	182	179	179	183	0.9781420765027322
cend	13	8	4	18	0.2222222222222222
sor	239	41	41	240	0.17083333333333334
less	816	718	706	829	0.8516284680337757
cept	9	8	8	10	0.8
ive	202	1056	156	1103	0.1414324569356301
or	198	979	198	980	0.20204081632653062
cess	121	12	11	123	0.08943089430894309
dence	204	31	31	205	0.15121951219512195
dent	249	54	54	250	0.216
die	96	11	11	97	0.1134020618556701
tral	1764	63	63	1765	0.035694050991501414
tres	84	11	11	85	0.12941176470588237
trine	310	15	15	311	0.04823151125401929
mus	109	40	40	110	0.36363636363636365
cite	449	40	39	451	0.08647450110864745
claim	18	11	11	19	0.5789473684210527
mate	849	95	95	850	0.11176470588235295
tize	525	66	66	526	0.12547528517110265
clive	215	2	2	216	0.009259259259259259
tous	1236	91	91	1237	0.07356507679870655
vous	1166	21	21	1167	0.017994858611825194
cloy	1221	4	4	1222	0.0032733224222585926
coast	14	4	4	15	0.26666666666666666
coil	45	5	5	46	0.10869565217391304
lade	98	27	19	107	0.17757009345794392
ting	1459	93	90	1463	0.06151742993848257
plice	80	4	3	82	0.036585365853658534
plish	389	3	3	390	0.007692307692307693
plished	434	2	2	435	0.004597701149425287
compt	4	4	4	5	0.8
cord	13	11	11	14	0.7857142857142857
cost	12	7	7	13	0.5384615384615384
cheur	3	2	1	5	0.2
cheuse	50	1	1	51	0.0196078431372549
count	9	8	8	10	0.8
ple	218	112	112	219	0.5114155251141552
court	3	3	3	4	0.75
ments	1	1	1	2	0.5
coy	1218	4	4	1219	0.003281378178835111
it	80	315	80	316	0.25316455696202533
cresce	57	1	1	58	0.017241379310344827
cence	271	98	98	272	0.3602941176470588
crete	128	9	9	129	0.06976744186046512
croach	11	2	2	12	0.16666666666666666
crue	54	2	2	55	0.03636363636363636
cumb	3	3	3	4	0.75
bent	207	12	12	208	0.057692307692307696
ber	2965	123	122	2967	0.04111897539602292
curse	50	6	6	51	0.11764705882352941
cursed	420	1	1	421	0.0023752969121140144
val	1629	46	46	1630	0.02822085889570552
cuse	55	7	7	56	0.125
cused	421	1	1	422	0.002369668246445498
tom	30	10	10	31	0.3225806451612903
tomed	425	5	5	426	0.011737089201877934
ace	60	109	9	161	0.055900621118012424
tric	2400	57	57	2401	0.023740108288213244
phal	1591	7	7	1592	0.0043969849246231155
lan	1007	31	28	1011	0.027695351137487636
li	103	49	48	105	0.45714285714285713
list	567	57	51	574	0.08885017421602788
cyst	22	22	22	23	0.9565217391304348
cerb	2	1	1	3	0.3333333333333333
tude	142	84	84	143	0.5874125874125874
ose	82	381	38	426	0.0892018779342723
vate	792	38	38	793	0.04791929382093316
vose	88	6	6	89	0.06741573033707865
form	329	329	329	330	0.996969696969697
lum	575	96	90	582	0.15463917525773196
hyde	63	6	6	64	0.09375
ide	132	304	75	362	0.20718232044198895
lide	143	18	11	151	0.0728476821192053
fy	1418	205	204	1420	0.14366197183098592
try	2803	186	185	2805	0.0659536541889483
tol	42	14	13	44	0.29545454545454547
tone	142	147	45	245	0.1836734693877551
none	108	11	11	109	0.10091743119266056
tose	109	27	27	110	0.24545454545454545
tyl	67	29	29	68	0.4264705882352941
lene	155	35	34	157	0.21656050955414013
ach	7	75	7	76	0.09210526315789473
tour	26	13	12	28	0.42857142857142855
ache	59	20	7	73	0.0958904109589041
chene	122	2	1	124	0.008064516129032258
ron	248	123	51	321	0.1588785046728972
chieve	50	2	2	51	0.0392156862745098
te	115	4049	77	4088	0.018835616438356163
mic	2290	89	89	2291	0.03884766477520733
lite	580	174	170	585	0.2905982905982906
id	94	756	94	757	0.12417437252311757
lent	277	86	82	282	0.2907801418439716
ces	60	21	21	61	0.3442622950819672
nose	119	38	37	121	0.30578512396694213
nus	125	56	56	126	0.4444444444444444
gy	1642	431	428	1646	0.2600243013365735
know	25	7	7	26	0.2692307692307692
edge	68	28	10	87	0.11494252873563218
me	52	462	14	501	0.027944111776447105
node	75	8	8	76	0.10526315789473684
bill	46	43	43	47	0.9148936170212766
cold	10	5	3	13	0.23076923076923078
thist	532	13	13	533	0.024390243902439025
tine	337	112	112	338	0.33136094674556216
lyte	121	6	6	122	0.04918032786885246
lyth	2	1	1	3	0.3333333333333333
nite	512	103	102	514	0.19844357976653695
tum	550	66	65	552	0.11775362318840579
corn	28	29	26	32	0.8125
corned	423	1	1	424	0.0023584905660377358
chy	1254	39	39	1255	0.031075697211155377
tics	157	45	45	158	0.2848101265822785
quaint	5	4	4	6	0.6666666666666666
quest	32	7	7	33	0.21212121212121213
esce	55	18	4	70	0.05714285714285714
et	175	866	175	867	0.20184544405997693
quire	79	10	8	82	0.0975609756097561
y	1214	10662	1214	10663	0.11385163650004688
site	452	42	42	453	0.09271523178807947
quist	527	11	11	528	0.020833333333333332
quit	83	3	3	84	0.03571428571428571
tance	303	28	23	309	0.0744336569579288
crase	52	3	3	53	0.05660377358490566
cre	84	15	15	85	0.17647058823529413
cred	427	3	3	428	0.007009345794392523
rid	115	32	21	127	0.16535433070866143
tan	1022	44	43	1024	0.0419921875
bat	38	12	12	39	0.3076923076923077
dont	41	38	38	42	0.9047619047619048
gen	347	72	72	348	0.20689655172413793
in	141	1121	141	1122	0.12566844919786097
lith	18	18	17	20	0.85
than	984	4	4	985	0.0040609137055837565
yc	1	2	1	3	0.3333333333333333
crook	4	2	2	5	0.4
lis	80	32	31	82	0.3780487804878049
spire	88	8	8	89	0.0898876404494382
spore	108	26	26	109	0.23853211009174313
cross	9	6	6	10	0.6
act	22	60	22	61	0.36065573770491804
gram	77	58	58	78	0.7435897435897436
oid	173	423	79	518	0.1525096525096525
mere	95	22	22	96	0.22916666666666666
ric	2343	223	142	2425	0.05855670103092783
phone	132	33	33	133	0.24812030075187969
some	151	96	96	152	0.631578947368421
ost	5	89	5	90	0.05555555555555555
stome	101	15	15	102	0.14705882352941177
cha	939	34	33	941	0.03506907545164718
ton	276	80	79	278	0.2841726618705036
tress	215	68	61	223	0.273542600896861
us	69	3339	69	3340	0.02065868263473054
sure	183	57	57	184	0.30978260869565216
aunce	55	12	3	65	0.046153846153846156
cute	135	12	11	137	0.08029197080291971
lic	2262	62	61	2264	0.026943462897526502
