aai,aa-i
aea,ae-a
aeo,ae-o
aeu,ae-u
aia,ai-a
aia,a-ia
aie,a-ie
aie,ai-e
aie,aie
aii,ai-i
aoi,ao-i
aou,a-ou
aou,aou
aue,aue
aue,au-e
eae,e-ae
eau,eau
eea,ee-a
eei,ee-i
eia,e-ia
eio,ei-o
eio,e-i-o
eoi,eoi
eou,e-ou
eou,eou
iae,i-ae
iai,i-ai
iao,ia-o
iao,iao
iei,ie-i
ieu,ieu
ioa,i-o-a
ioe,i-o-e
ioe,i-oe
ioi,i-o-i
iou,iou
iou,i-ou
oau,o-au
oei,oe-i
oeu,oeu
oia,oi-a
oie,oi-e
ooe,oo-e
ooe,ooe
ooi,oo-i
oua,ou-a
oua,oua
oue,ou-e
oue,oue
oui,ou-i
oui,oui
uai,uai
uau,u-au
uea,uea
uee,uee
uee,u-ee
uei,ue-i
ueo,ue-o
ueu,ueu
uia,ui-a
uia,u-ia
uie,ui-e
uie,u-i-e
uie,uie
uio,ui-o
uiu,ui-u
uoi,uoi
uou,u-ou
