અયોધાતુ,અ-યોધા-તુ
આદિયોજક,આ-દિ-યો-જક
કરમકૂટિયું,કરમકૂટિ-યું
ભક્ષણ,ભક્-ષણ
પંડિતમાની,પં-ડિત-મા-ની
અજમાયશ,અજ-માયશ
અરજોળો,અરજોળો
દુર્વિકાર,દુર્-વિ-કાર
અધર્મદંડન,અધર્-મદં-ડ-ન
પૅટલ,પૅટલ
અતસી,અતસી
સ્વરિત,સ્વ-રિત
ધજ,ધજ
સિપાવું,સિ-પા-વું
ખાધરો,ખા-ધ-રો
માં,માં
સંધૂકણ,સંધૂકણ
મદગળતો,મ-દગળતો
મણિમંડપ,મ-ણિમંડપ
લોઢિયો,લોઢિયો
કામવાળી,કામ-વા-ળી
આસ્તરણી,આસ્-તર-ણી
વતરડાવું,વતર-ડા-વું
અરાડ,અરાડ
એનિમા,એ-નિ-મા
અનુષ્ટુબ,અ-નુષ્ટુબ
ઝકૂંબવું,ઝ-કૂંબ-વું
રૂપું,રૂ-પું
સગરણ,સગરણ
ઉરસ,ઉરસ
પૂંજણી,પૂંજણી
બથ્થંબથ્થા,બથ્થંબથ્થા
મહિ,મ-હિ
સીધાઈ,સી-ધા-ઈ
બલવું,બ-લ-વું
ઉઝરડો,ઉ-ઝર-ડો
પારસ,પારસ
અબરી,અ-બરી
વૈઢું,વૈઢું
નિમકહરામ,નિ-મકહ-રામ
રસાતલ,ર-સાતલ
ઢીલાશ,ઢીલાશ
કાર્યગ્રાહકતા,કાર્-ય-ગ્રા-હક-તા
મુન્નો,મુ-ન્-નો
બ્રાન્ચ,બ્રાન્ચ
કશા,ક-શા
અભિગ્રસ્ત,અ-ભિગ્રસ્-ત
આમદ,આમ-દ
આકડો,આ-ક-ડો
ટાચકાટોળી,ટાચ-કાટો-ળી
ફાન્સિયમ,ફાન્સિ-યમ
તુંબીફલ,તું-બીફ-લ
નોટેશન,નોટેશન
ચૂંચળું,ચૂંચળું
ડીટડી,ડી-ટ-ડી
લલામ,લલામ
પૂઠે,પૂઠે
જમીર,જ-મીર
ગરદવું,ગર-દ-વું
અસ્થિરોગ,અ-સ્થિરોગ
ચક્રવર્તિત્વ,ચક્ર-વર્-તિ-ત્-વ
