a,2143
aard,1
ab,123
ac,224
ace,7
aced,4
ach,7
ache,8
ached,1
acked,1
act,22
ad,187
add,4
ade,10
ads,1
adz,1
ae,9
aer,22
aes,7
af,60
aft,1
ag,77
age,128
aged,15
ah,7
ai,4
aid,3
aide,1
ail,4
aim,3
aimed,1
ain,2
air,38
aire,2
aired,1
airs,1
ais,1
aisle,1
ak,3
al,768
alb,1
ald,10
ale,5
aled,3
alias,1
all,7
alled,2
alms,3
alp,1
als,1
alt,3
alum,1
am,113
amb,1
ame,1
amor,1
amp,1
an,514
anal,1
anc,3
ance,69
anced,3
and,6
ane,3
ang,3
ange,3
angst,1
ankh,1
anon,1
ant,103
anx,4
ap,153
ape,2
aph,6
aphs,1
apse,2
apt,6
aq,9
ar,296
arc,4
arch,16
arched,1
arcs,1
ard,26
are,1
ared,1
ark,2
arm,20
armed,2
arms,1
art,16
arts,1
ary,2
as,212
ascetic,1
ase,1
ased,3
ash,10
ashe,1
ask,3
asked,1
asm,1
asp,2
ass,6
assed,2
ast,2
asth,2
at,221
ate,206
ath,7
attn,1
au,94
auc,3
aug,4
aught,1
auk,1
auld,1
aunt,3
aus,14
auth,1
auto,1
aux,2
av,14
ave,1
aw,5
awe,4
awed,3
awk,2
awl,1
awn,2
ax,20
axe,1
ay,2
aye,1
az,7
b,4
ba,112
baa,2
baas,1
bab,8
babe,1
babel,1
bac,9
bach,1
back,87
backed,3
backs,1
bad,10
bade,2
badg,1
badge,1
baf,4
baft,1
bag,22
bage,3
bagged,1
bagh,1
bags,2
bah,2
bahn,1
bahns,1
baht,1
bai,1
bail,8
bails,1
bairn,1
bait,2
baize,1
bak,7
bake,3
baked,1
bal,53
bald,5
bale,4
balk,6
ball,29
balled,1
balls,1
balm,8
bals,1
balt,1
bam,4
ban,48
band,23
bands,1
bane,10
bang,4
bangs,1
bank,15
banks,1
banns,1
bans,1
bap,13
bar,115
barb,2
barbed,1
bard,4
bare,10
barg,1
barge,1
bark,9
barn,3
barque,1
barred,4
bars,1
bart,1
bas,35
base,15
based,2
bash,7
bashed,1
bask,1
bass,5
bast,6
baste,2
bat,61
batch,1
