
Experimentations and results achieved:


1. MOP

12190.0 correct out of 40058 : 30.43 %age correct


2. Hybrid MOP with ambisyllabification using maximmum probable split.
Maximum probable split is chosen using normalized onset frequencies.

5660 correct out of 40058 : 14.12 %age correct

3. MOP with some x threshold

the result varies with changing threshold

threshold: 0 ->   (12190 / 40058)
threshold: 5 ->   (13481 / 40058)
threshold: 10 ->  (13556 / 40058)
threshold: 20 ->  (13633 / 40058)
threshold: 30 ->  (13661 / 40058)
threshold: 40 ->  (13673 / 40058)
threshold: 50 ->  (13675 / 40058)
threshold: 60 ->  (13679 / 40058)
threshold: 70 ->  (13676 / 40058)
threshold: 80 ->  (13710 / 40058)
threshold: 90 ->  (13720 / 40058)
threshold: 100 -> (13710 / 40058)
threshold: 110 -> (13710 / 40058)
threshold: 120 -> (13693 / 40058)
threshold: 130 -> (13693 / 40058)
threshold: 140 -> (13741 / 40058)
threshold: 150 -> (13716 / 40058)
threshold: 160 -> (13716 / 40058)
threshold: 170 -> (13716 / 40058)
threshold: 180 -> (13719 / 40058)
threshold: 190 -> (13719 / 40058)
threshold: 200 -> (13633 / 40058)
threshold: 210 -> (13633 / 40058)
threshold: 220 -> (13622 / 40058)
threshold: 230 -> (13622 / 40058)
threshold: 240 -> (13622 / 40058)
threshold: 300 -> (13592 / 40058)
threshold: 400 -> (13074 / 40058)
threshold: 500 -> (12918 / 40058)
threshold: 600 -> (12679 / 40058)

